Brand,Comments,Labels
BAHLOfficial,Should we delete last app?,Neutral
BAHLOfficial,How we can register ourself?,Neutral
BAHLOfficial,How can i set password plz guide me,Neutral
BAHLOfficial,Not available on App store,Neutral
BAHLOfficial,Where is the option of fingerprint login??,Neutral
BAHLOfficial,ios version,Neutral
BAHLOfficial,Not available on play store only agile app,Neutral
BAHLOfficial,How can i get user id and password???,Neutral
BAHLOfficial,waiting for ios,Neutral
BAHLOfficial,Sir how to register ?,Neutral
BAHLOfficial,Waiting for iOS version ..,Neutral
BAHLOfficial,I am able to sign in with my ID pwd but cannot sign in on the new app it says ID pwd incorrect what is the issue,Neutral
BAHLOfficial,Is it free or any changes???,Neutral
BAHLOfficial,Application not perform properly take too much time to process,Neutral
BAHLOfficial,Internet banking k lye yee app h,Neutral
BAHLOfficial,Agile login will work on new app? Or we have to creat new login?,Neutral
BAHLOfficial,can u send men the link of app i asked from bank person who said do not instal agile Al Habib app is available on play store i found in play store but not on there,Neutral
BAHLOfficial,Anas Khan Kia scene hai yeah operational ho Gaye hai ?,Neutral
BAHLOfficial,Rehan Arfi Jahanzeb Khan finally 😂😂😂😂,Neutral
BAHLOfficial,When iOS version will launch? We are eagerly waiting for,Neutral
BAHLOfficial,How can I register?,Neutral
BAHLOfficial,The OTP that should not be present when logging in should only come when we make payments,Neutral
BAHLOfficial,Is there any chareges of account balance certificate?,Neutral
BAHLOfficial,"the previous mobile app was agile.
the user name password for that are now invalid",Neutral
BAHLOfficial,"I forgot my password and unable to reset it.
Please guide me",Neutral
BAHLOfficial,"What about Agile? Will that be terminated or both will work at the same time?
If I have Agile already, any reason for me to shift to this newly launched app?",Neutral
BAHLOfficial,Inter bank fund transfer free hai or is there any changes through app???,Neutral
BAHLOfficial,Apple Pay registration nhe ho rhe sb fields ko fill kr k ok krta hon next kush b nhe hota. Bank say online ke option active krwani parday ge pehlay?,Neutral
BAHLOfficial,can we transfer amount to another account from different bank?,Neutral
BAHLOfficial,will it work with id and password of Agile App or We have To register agin for this?,Neutral
BAHLOfficial,"Kiya ye application
Kisi khasss qism k account holders k liye hy ya sbbb use kr sakty hmmmmmm",Neutral
BAHLOfficial,App instaal krny k bd pasword kn ca lagna hai,Neutral
BAHLOfficial,Can I use my agile user ID and PW for this app?,Neutral
BAHLOfficial,Ye app kaise download ho gi aur active kaise ho gi,Neutral
BAHLOfficial,"I can sign in to Agile but can't with this new app.,
Any suggestions?",Neutral
BAHLOfficial,Add fingerprint login.,Neutral
BAHLOfficial,Mre mob main kio nahi ho rhi?,Neutral
BAHLOfficial,I am using Agile (Your old app). Do I need to register here as well?,Neutral
BAHLOfficial,Login nahi hota,Neutral
BAHLOfficial,"BHAL Union pay debit card sy online transaction hoti hai?
Jesy Foodpanda or Daraz.pk",Neutral
BAHLOfficial,Bank Al Habib limited ka mobile app konsa hy plzz tell me,Neutral
BAHLOfficial,Forget my email id.. What should i do,Neutral
BAHLOfficial,When will ios version launches ?,Neutral
BAHLOfficial,Koi lone ky mutalk information dy g,Neutral
BAHLOfficial,What should be written in sleceted I'd??,Neutral
BAHLOfficial,How can we reactive our ATM card if it block due to 3 time wrong password,Neutral
BAHLOfficial,Assalam.o.alyekum janab mere pas old app ha us main account open ho raha ha lekn new app main invalid id password aa raha ha ye kia masla ha,Neutral
BAHLOfficial,Can we use online transactions from this app?,Neutral
BAHLOfficial,Name of app in iOS,Neutral
BAHLOfficial,How to.apply phone.banking officer,Neutral
BAHLOfficial,How to register al habib mobile app,Neutral
BAHLOfficial,Open nh hori app,Neutral
BAHLOfficial,Why al habib debit card can’t be use for online purposes? Can’t use it as a freelancer 😢,Neutral
BAHLOfficial,Abhi play store se install kya hy app open ni ho rha?,Neutral
BAHLOfficial,Email address error,Neutral
BAHLOfficial,Resignup as agile or creat a different username password?,Neutral
BAHLOfficial,Agile aap is not working please guide me,Neutral
BAHLOfficial,I am able to sign in with my ID pwd on old version in single Go.. but cannot sign in on the new app. It says ID pwd incorrect... What is the issue,Neutral
BAHLOfficial,"This app has stoped working """" Play store"" is showing #Not_compatible_with_your_device",Neutral
BAHLOfficial,App Store not available,Neutral
BAHLOfficial,"How to login please till me,(username or password error)this appear on screen, so what is going wrong..plz",Neutral
BAHLOfficial,When is expected for iOS ?,Neutral
BAHLOfficial,Plz send swift code,Neutral
BAHLOfficial,How create account in this?,Neutral
BAHLOfficial,I m using old mobile app of bank al habib which is agile. Can i lagin with same user id or i have to register again,Neutral
BAHLOfficial,Haw to regater emile adras,Neutral
BAHLOfficial,"Why we can't use our debit visa card for for online payments?
All banks visa debit cards are approve for online payments except bank al Habib",Neutral
BAHLOfficial,IOS ??? App update??,Neutral
BAHLOfficial,any vacancy here ?,Neutral
BAHLOfficial,kia ap carri qist par dete hain nwoo,Neutral
BAHLOfficial,Login issue unresolved,Neutral
BAHLOfficial,I need a job office boy,Neutral
BAHLOfficial,When will lunch IOS Version,Neutral
BAHLOfficial,Registration kaisy hoty hy,Neutral
BAHLOfficial,Ye use ksy hoga mra b bank Al Habib m account ha,Neutral
BAHLOfficial,Car installment p lyny ka Kya process hy sood Wala mamla to nhe hy ?,Neutral
BAHLOfficial,How much we will pay for this debit card ?????,Neutral
BAHLOfficial,This card support facebook payments?,Neutral
BAHLOfficial,I am overseas pakistani. I have a account in bank al habib can I apply credit card ?,Neutral
BAHLOfficial,"I am using unoin pay debit card,can i get now visa debit card from my branch.",Neutral
BAHLOfficial,Do you have any post of assistant vice president?,Neutral
BAHLOfficial,I need credit card what required,Neutral
BAHLOfficial,Its free ? Or exchange with old card,Neutral
BAHLOfficial,Not good service for yours. With due respect i sebmit documents for loan. But no reply so fast.,Neutral
BAHLOfficial,I want to open acont in UAE how to possible,Neutral
BAHLOfficial,Charges of new card?,Neutral
BAHLOfficial,Dear I have PayPak card I need gold Visa card how I can get it,Neutral
BAHLOfficial,I have pay pak debit card and i boost my online page for this card so how is it possible ?,Neutral
BAHLOfficial,Annual fees please,Neutral
BAHLOfficial,There is such a system that I can check the balance any time for you,Neutral
BAHLOfficial,If any customer has silver card with chip then is it right?,Neutral
BAHLOfficial,VISA DEBIT CARD ANNAUL CHARGES?,Neutral
BAHLOfficial,Already have MVP one. Do I need to update?,Neutral
